Energy (keV),Optimal_Thickness,Attenuation Coeff
66.25,21.34456936337961,0.24564768013984206
66.5,20.55165511691336,0.24498048943649514
66.75,21.256835404399585,0.24378757407763935
67.0,20.27897994555109,0.2430779421489409
67.25,19.067796498281446,0.2425123174669878
67.5,21.8209161477845,0.2411991407419633
67.75,21.01022420664885,0.24063639140281073
68.0,21.731130632040504,0.23951131294101122
68.25,20.731456551243877,0.23880761098013475
68.5,19.49324845013922,0.23833480167079643
68.75,22.307797332922462,0.23696441987544678
69.0,21.479016753776914,0.2365091330209645
69.25,22.216008469647164,0.23554091130046845
69.5,21.194029069591465,0.23497260922398586
69.75,19.928193337106897,0.2344046557238738
70.0,20.449181685548876,0.23345596639651056
70.25,19.3618014037433,0.23288339251937942
70.5,22.162965325599274,0.23152651716590317
70.75,21.33964903334474,0.2309035057984685
71.0,20.083400267512484,0.23036951211723866
71.25,22.983922207562266,0.22917453269528004
71.5,22.13003359135741,0.22873892344646188
71.75,22.88936429362598,0.2277251380571807
72.0,21.836409239499385,0.22715123142988283
72.25,20.532206675688705,0.22666365411922965
72.5,23.496766405652316,0.22544784440898852
72.75,22.62381317862251,0.22496198437282192
73.0,21.29195848378921,0.22437069710807184
73.25,21.849307573432995,0.22356943900178244
73.5,20.687537222683403,0.22315988529637157
73.75,23.680504193995443,0.2220521182852745
74.0,22.800813963695582,0.22166952663939757
74.25,23.58316869154455,0.22068952340672093
74.5,22.498297411165776,0.22017923280641064
74.75,21.154562889541992,0.21982252683207104
75.0,24.208982039289868,0.2187109081291738
75.25,23.30956853577651,0.21831277832272683
75.5,21.937343701537124,0.2177823978627233
75.75,22.511586721528165,0.21702324757114574
76.0,21.31460169518345,0.21670208554318568
76.25,24.398289143992343,0.21568916418178216
76.5,23.49193443041984,0.2153253483984232
76.75,24.298003283804672,0.21451103976254923
77.0,23.180248232398032,0.21411688764026215
77.25,21.795783479335284,0.21367855252651427
77.5,24.94278579702209,0.21268796689096905
77.75,24.016109973781194,0.21225672839769832
78.0,22.602291331996156,0.21196152400662552
78.25,23.193940357957917,0.21118247880519878
78.5,21.960673256272095,0.21090409325179532
78.75,25.137831030844183,0.20990327999496358
79.0,24.20400360100552,0.2096618265911071
79.25,25.03450538398007,0.20897559718016417
79.5,23.88286981435853,0.20862536709727447
79.75,22.456440246889436,0.2082320522968829
80.0,23.043525263982673,0.207717136144336
80.25,21.81819139098099,0.2073701681734965
80.5,24.974732938441704,0.20637408669058135
80.75,24.046964283803504,0.205999302239466
81.0,22.63133794635359,0.20575356927383012
81.25,25.899842849493186,0.20482867137818933
81.5,24.937623226099223,0.20445959814482048
81.75,23.46955665870295,0.20424081141458517
82.0,24.08390770436481,0.2035943345892085
82.25,22.803319304698427,0.20341858060375015
82.5,26.10238679561386,0.20244221353683717
82.75,25.132727768785497,0.2022466293161173
83.0,23.65318337188112,0.20188503793184176
83.25,24.272341411409126,0.20128580215273156
83.5,22.981733648517945,0.20112291083526457
83.75,26.306613214303198,0.20025648092840093
84.0,25.329367525322166,0.20004001066016128
84.25,26.19848344672983,0.19946623636338984
84.5,24.993302639494814,0.19918586966491117
84.75,23.500551301368574,0.19889953888521533
85.0,24.114932806664168,0.19842545993858635
85.25,22.83262709715754,0.19818015893676277
85.5,26.135931884356715,0.1973109257011783
85.75,25.165026673004395,0.19704370521920453
86.0,23.683580860531144,0.1968810759760594
86.25,24.303534600403143,0.19632960885141273
86.5,23.011268234764128,0.19617413987608961
86.75,26.34042071328016,0.19533708445926273
87.0,25.36191913353274,0.19500660229864042
87.25,23.868882416868466,0.19486446535445479
87.5,27.316118254210778,0.19409439989092886
87.75,26.301281786984752,0.19379845110612326
88.0,24.752937258676837,0.19366257984501373
88.25,25.40088272732001,0.19316009628879027
88.5,24.050268194114622,0.19302917413618748
88.75,27.529737866350153,0.19218873811915496
89.0,26.507055188426975,0.19203261864386983
89.25,24.946605190986546,0.19181586525255398
89.5,25.599620513283185,0.1912602487724291
89.75,24.238438730219535,0.1912017217254752
90.0,27.74513195333249,0.1903757219265498
90.25,26.714447753480336,0.1902719278969262
90.5,25.141788714889678,0.1900085054800097
90.75,25.79991326270194,0.18956348645504714
91.0,24.42808152325917,0.18941347483839266
91.25,27.96221129476396,0.1886697680682331
91.5,26.9234629686462,0.1885968057165441
91.75,25.33849936473692,0.18831041937883214
92.0,26.00177311290834,0.1878763227273772
92.25,24.619208091279205,0.1877896179010181
92.5,28.180989076143593,0.18705260499205906
92.75,27.134113529620972,0.18694698331739526
93.0,28.065154940674795,0.1864773363439045
93.25,26.774103641642437,0.18631961081800064
93.5,25.174992087051976,0.1861347053445598
93.75,25.833148967539582,0.18577866277893784
94.0,24.45947752996225,0.18562441188079098
94.25,27.998146508932848,0.18486467761553257
94.5,26.958063206221198,0.18477411495714496
94.75,25.371062708737607,0.18458364160142565
95.0,26.03518885179992,0.1842626081797773
95.25,24.650847050106485,0.18411312906296046
95.5,28.217205397552988,0.18336222760980675
95.75,27.1689844766304,0.18329784518572903
96.0,25.569567209959203,0.1831240686229125
96.25,26.238889510318984,0.1828057730546156
